type,name,iso_region,municipality,i94port,coordinate1,coordinate2
small_airport,Rybolt Ranch Airport,US-FL,Orlando,01FA,-81.14420318603516,28.589399337768555
heliport,Advent Health Altamonte Springs Heliport,US-FL,Altamonte Springs,01FD,-81.3697,28.666639
small_airport,Cedar Knoll Flying Ranch Airport,US-FL,Geneva,01FL,-81.1592025756836,28.78190040588379
heliport,Medical Center Heliport,US-GA,Columbus,01GA,-84.9791030883789,32.47930145263672
small_airport,The Farm Airport,US-GA,Wrightsville,01GE,-82.77110290527344,32.674400329589844
small_airport,Stender Airport,US-IA,Maysville,01IA,-90.74130249023438,41.66109848022461
small_airport,Lava Hot Springs Airport,US-ID,Lava Hot Springs,01ID,-112.031998,42.6082
small_airport,Myers Field,US-IN,Lizton,01II,-86.50669860839844,39.8849983215332
heliport,Hoopeston Community Memorial Hospital Heliport,US-IL,Hoopeston,01IL,-87.65950012207031,40.45859909057617
heliport,Community Hospital Heliport,US-IN,Anderson,01IN,-85.69580078125,40.13090133666992
small_airport,William E. Koenig Airport,US-IL,Dow,01IS,-90.31819915771484,39.01620101928711
small_airport,Hilliard Airpark,US-FL,Hilliard,01J,-81.90570068359375,30.68630027770996
small_airport,Caldwell Municipal Airport,US-KS,Caldwell,01K,-97.5864028930664,37.03609848022461
small_airport,Flying N Ranch Airport,US-KS,Lost Springs,01KS,-97.00330352783203,38.54059982299805
heliport,Lourdes Hospital Heliport,US-KY,Paducah,01KY,-88.64689636230469,37.051700592041016
small_airport,Barham Airport,US-LA,Oak Ridge,01LA,-91.77369689941406,32.638999938964844
small_airport,Schumaier Restricted Landing Area,US-IL,Pinckneyville,01LL,-89.46389770507812,38.12580108642578
small_airport,Country Breeze Airport,US-LA,Slaughter,01LS,-91.07740020751953,30.70599937438965
heliport,Compaq Andover Heliport,US-MA,Andover,01MA,-71.18009948730469,42.625099182128906
seaplane_base,Annapolis Seaplane Base,US-MD,Annapolis,01MD,-76.456001,38.999199
seaplane_base,Saint Peter's Seaplane Base,US-ME,Portage Lake,01ME,-68.50029754638672,46.778900146484375
heliport,Flow Through Terminal Heliport,US-MI,Flint,01MI,-83.67970275878906,43.04949951171875
seaplane_base,Barnes Seaplane Base,US-MN,Cook,01MN,-92.55740356445312,47.899600982666016
heliport,Highway Patrol Troop C Headquarters Heliport,US-MO,Town and Country,01MO,-90.48429870605469,38.641700744628906
small_airport,Crystal Lakes Resort Airport,US-MT,Fortine,01MT,-114.87999725341797,48.789100646972656
small_airport,Topsail Airpark,US-NC,Holly Ridge,01NC,-77.5813980102539,34.47529983520508
small_airport,Detour Airport,US-NE,Wellfleet,01NE,-100.65299987792969,40.84360122680664
small_airport,Moore Airfield,US-NH,Canaan,01NH,-72.086998,43.6445
heliport,Albert Guido Memorial Heliport,US-NJ,Newark,01NJ,-74.13710021972656,40.741798400878906
small_airport,Champion Ranch Airport,US-NM,Artesia,01NM,-104.540278,33.008611
small_airport,Lantana Ranch Airport,US-NV,Yerington,01NV,-119.0270004272461,38.76390075683594
heliport,Vassar Hospital Heliport,US-NY,Poughkeepsie,01NY,-73.94960021972656,41.70009994506836
heliport,Galion Community Hospital Heliport,US-OH,Galion,01OI,-82.80159759521484,40.73059844970703
closed,Lawrence Airport,US-OK,Eakly,,-98.636496,35.294498
closed,Red & White Flying Service Airport,US-OR,Silver Lake,,-121.044997,43.119301
heliport,Pine Heliport,US-PA,Mars,01PA,-80.0509033203125,40.655601501464844
small_airport,Bierly(Personal Use) Airport,US-PA,Bellefonte,01PN,-77.73889923095703,40.930599212646484
small_airport,Nort's Resort Airport,US-PA,Meshoppen,01PS,-76.02960205078125,41.59590148925781
small_airport,York Airport,US-SC,York,01SC,-81.25279998779297,35.032100677490234
heliport,Thirty Thirty Matlock Office Center Heliport,US-TX,Arlington,01TA,-97.11579895019531,32.69419860839844
small_airport,Smith Field,US-TX,Forney,01TE,-96.4280014038086,32.73759841918945
small_airport,Colonial Air Park,US-TN,Collierville,01TN,-89.73059844970703,34.99589920043945
closed,St Joseph Hospital Heliport,US-TX,Fort Worth,,-97.324501,32.7285
small_airport,Mims Farm Ultralightport,US-TX,Waxahachie,01TX,-96.87750244140625,32.38759994506836
small_airport,Duckwater Airport,US-NV,Duckwater,01U,-115.63400268554688,38.851600646972656
small_airport,La Sal Junction Airport,US-UT,La Sal,01UT,-109.39600372314453,38.30830001831055
small_airport,Pickles Airport,US-VA,Berryville,01VA,-77.9250030518,39.125
heliport,Willapa Harbor Heliport,US-WA,South Bend,01WA,-123.81199645996094,46.66320037841797
small_airport,Prehn Cranberry Company Airport,US-WI,Tomah,01WI,-90.38919830322266,44.0099983215332
heliport,Whidbey General Hospital Heliport,US-WA,Coupeville,01WN,-122.68499755859375,48.213401794433594
heliport,Odyssey Heliport,US-WA,Renton,01WT,-122.210908,47.518178
small_airport,Keyhole Airport,US-WY,Moorcroft,01WY,-104.81099700927734,44.347198486328125
heliport,Seton Medical Center Hays Heliport,US-TX,Kyle,01XA,-97.853333,30.007222
heliport,Meadowood Ranch Heliport,US-TX,Athens,01XS,-95.74549865722656,32.020198822021484
small_airport,Rustic Wilderness Airport,US-AK,Willow,02AK,-150.09800720214844,61.87689971923828
small_airport,Bass Field,US-AL,Foley,02AL,-87.76439666748047,30.37150001525879
closed,Three Rivers Airport,US-AR,Little Rock,,-92.44442,34.822445
closed,Winchester Farm Airstrip,US-AZ,Willcox,,-109.936996,32.376401
heliport,Swepi Beta Platform Ellen Heliport,US-CA,Huntington Beach,02CA,-118.12899780273438,33.58250045776367
small_airport,Shannon Field,US-MS,Clarksdale,02CD,-90.52400207519531,34.129600524902344
small_airport,Conover Air Lodge Airport,US-CA,Frazier Park,02CL,-119.058998,34.761101
small_airport,Mc Cullough Airport,US-CO,Monte Vista,02CO,-106.04699707,37.64329910279999
heliport,Strangers Point Heliport,US-CT,Ellington,02CT,-72.44450378417969,41.91960144042969
small_airport,Osborn Airfield,US-FL,Groveland,02FA,-81.87480163574219,28.52669906616211
small_airport,Cuchens Airport,US-FL,Defuniak Springs,02FL,-86.123889,30.642778
small_airport,Doug Bolton Field,US-GA,Commerce,02GA,-83.42900085449219,34.202598571777344
small_airport,Etowah Fields Airport,US-GA,Euharlee,02GE,-84.92440032958984,34.17530059814453
heliport,K3 Helipad Heliport,US-HI,Pearl Harbor,02HI,-157.9510040283203,21.36199951171875
heliport,Boone County Hospital Heliport,US-IA,Boone,02IA,-93.87799835205078,42.05609893798828
small_airport,Morgan Ranch Airport,US-ID,Cascade,02ID,-115.30500030517578,44.55550003051758
small_airport,King Ultralightport,US-IN,Westfield,02II,-86.21050262451172,40.06230163574219
small_airport,Diamond P. Field,US-IN,Muncie,02IN,-85.54080200195312,40.208900451660156
heliport,Condell Medical Center Heliport,US-IL,Libertyville,02IS,-87.9572982788086,42.274600982666016
small_airport,Jmj Landing Airport,US-KS,St Marys,02KS,-96.0552978515625,39.222198486328125
heliport,St Claire Healthcare Heliport,US-KY,Morehead,02KT,-83.443319,38.181441
heliport,Boone National Guard Heliport,US-KY,Frankfort,02KY,-84.89990234375,38.18339920043945
heliport,La State Police Troop G Heliport,US-LA,Bossier City,02LA,-93.66020202636719,32.53129959106445
heliport,Windy Hill Heliport,US-LA,Broussard,02LS,-91.91899871826172,30.148300170898438
heliport,Cuttyhunk Heliport,US-MA,Gosnold,02MA,-70.927001953125,41.41960144042969
small_airport,Garner Field,US-MD,Brandywine,02MD,-76.709739,38.672544
small_airport,Nadeau's Airport,US-ME,Acton,02ME,-70.929397,43.5373
small_airport,Fairplains Airpark,US-MI,Greenville,02MI,-85.14849853515625,43.157100677490234
small_airport,Greenbush Municipal Airport,US-MN,Greenbush,02MN,-96.19200134277344,48.68330001831055
small_airport,Troy Airpark,US-MO,Troy,02MO,-91.03350067138672,39.04999923706055
small_airport,Watts Field,US-MS,Rochdale,02MS,-90.8468017578125,34.100101470947266
closed,Barrett Field,US-MT,Cascade,,-111.74304,47.2374
closed,Timber Line Airpark,US-MO,Cassville,,-93.797418,36.654233
heliport,Race City Heliport,US-NC,Landis,02NC,-80.597778,35.541111
small_airport,Benes Service Airport,US-NE,Valparaiso,02NE,-96.90450286865234,41.074501037597656
seaplane_base,Iroquois Landing Seaplane Base,US-NH,Dummer,02NH,-71.21910095214844,44.657100677490234
heliport,Penske Heliport,US-NJ,Piscataway,02NJ,-74.46710205078125,40.55730056762695
small_airport,Paiute Meadows Airport,US-NV,Winnemucca,02NV,-118.5979995727539,41.30329895019531
heliport,Hansen Heliport,US-NY,Durhamville,02NY,-75.65550231933594,43.132598876953125
small_airport,Zimmerman Airport,US-OH,Fremont,02OH,-83.08329772949219,41.376399993896484
small_airport,Murtha Airport,US-OH,Conneaut,02OI,-80.56539916992188,41.801998138427734
heliport,Canon Heliport,US-OK,Oklahoma City,02OK,-97.52529907226562,35.45840072631836
small_airport,Rowena Dell Airport,US-OR,The Dalles,02OR,-121.31600189208984,45.68149948120117
heliport,Stottle Memorial Heliport,US-PA,Honey Grove,02P,-77.556602,40.403596
heliport,Lag Iii Heliport,US-PA,Monroeville,02PA,-79.7699966430664,40.43830108642578
heliport,Peco Berwyn Heliport,US-PA,Berwyn,02PN,-75.4552001953125,40.06959915161133
small_airport,Hughes Ultralightport,US-PA,Tioga,02PS,-77.23030090332031,41.90060043334961
small_airport,Harpers Airport,US-SC,Estill,02SC,-81.22480010986328,32.75849914550781
small_airport,Wise River Airport,US-MT,Wise River,02T,-112.98200225830078,45.769100189208984
heliport,Matagorda Shore Facility Heliport,US-TX,Matagorda,02TA,-95.8738021850586,28.721399307250977
heliport,Baylor Medical Center Heliport,US-TX,Waxahachie,02TE,-96.86419677734375,32.39540100097656
small_airport,Ellis Field,US-TN,Murfreesboro,02TN,-86.58419799804688,35.780601501464844
closed,FWOMC Heliport,US-TX,Fort Worth,,-97.370003,32.747601
small_airport,The Palms At Kitty Hawk Airport,US-TX,New Home,02TX,-101.92288208,33.3704032898
small_airport,Lucin Airport,US-UT,Lucin,02UT,-113.84300231933594,41.36629867553711
small_airport,The Greenhouse Airport,US-VA,Culpeper,02VA,-77.8572006225586,38.435699462890625
heliport,Northstar Aviation Heliport,US-VA,Bristol,02VG,-82.11669921875,36.63880157470703
small_airport,Cawleys South Prairie Airport,US-WA,South Prairie,02WA,-122.09400177001953,47.15230178833008
small_airport,Beer Airport,US-WI,Hudson,02WI,-92.65579986572266,45.031898498535156
small_airport,Fowler Field,US-WA,Tonasket,02WN,-119.31900024414062,48.74580001831055
small_airport,JLS Farms Airport,US-TX,Honey Grove,02XA,-95.882864,33.591319
small_airport,Seidel Ranch Airport,US-TX,Elroy,02XS,-97.66280364990234,30.1476993560791
heliport,Trapper T Heliport,US-AK,Palmer,03AA,-149.284527,61.556055
seaplane_base,Joe Clouds Seaplane Base,US-AK,Kenai,03AK,-151.13278198242188,60.72722244262695
heliport,Highland Medical Center Heliport,US-AL,Scottsboro,03AL,-86.046774,34.662604
heliport,Hscmh Heliport,US-AR,Malvern,03AR,-92.78849792480469,34.357601165771484
small_airport,Thompson International Aviation Airport,US-AZ,Hereford,03AZ,-110.08399963378906,31.433399200439453
heliport,Grossmont Hospital Heliport,US-CA,La Mesa,03CA,-117.006952,32.779484
small_airport,Kugel-Strong Airport,US-CO,Platteville,03CO,-104.744003296,40.2125015259
small_airport,Lake Persimmon Airstrip,US-FL,Lake Placid,03FA,-81.40809631347656,27.353099822998047
closed,Tharpe Airport,US-FL,Bonifay,,-85.731003,30.8288
heliport,Ranger Heliport,US-FL,West Palm Beach,03FL,-80.18730163574219,26.683700561523438
small_airport,HIA Airport,US-IN,Statesboro,03GA,-81.8576944,32.5623056
closed,Clarks Dream Strip,US-OH,Circleville,,-83.018204,39.644199
small_airport,East Field,US-IA,Montezuma,03IA,-92.4613037109375,41.58190155029297
small_airport,Flying Y Ranch Airport,US-ID,Council,03ID,-116.53299713134766,44.7943000793457
small_airport,Davis Field Ultralightport,US-IN,Mount Vernon,03II,-87.7789001465,37.9620018005
small_airport,Wix Airport,US-IL,Monee,03IL,-87.81670379638672,41.40230178833008
small_airport,Heinzman Airport,US-IN,Arcadia,03IN,-86.01249694824219,40.18000030517578
heliport,OSF St Anthony's Health Center Heliport,US-IL,Alton,03IS,-90.173401,38.904999
heliport,Valley Grain Heliport,US-KS,Highland,03KS,-95.26409912109375,39.86470031738281
small_airport,Flying H Farms Airport,US-KY,Henderson,03KY,-87.54139709472656,37.79169845581055
heliport,Damien Heliport,US-LA,Carville,03LA,-91.12789916992188,30.199600219726562
heliport,Fmc Nr 1 Heliport,US-LA,Winnsboro,03LS,-91.70800018310547,32.159000396728516
seaplane_base,Lakeside Marina Seaplane Base,US-ME,East Winthrop,03M,-69.8895034790039,44.320899963378906
small_airport,Hadley Airport,US-MA,Hadley,03MA,-72.552001953125,42.39310073852539
heliport,Upper Chesapeake Medical Center Heliport,US-MD,Bel Air,03MD,-76.32669830322266,39.522499084472656
small_airport,Maple Ridge Airport,US-ME,Harrison,03ME,-70.6272964477539,44.08420181274414
heliport,Harold Miller Heliport,US-MI,Bay City,03MI,-83.86219787597656,43.550899505615234
small_airport,Nauerth Land Ranch Airport,US-MN,Lakefield,03MN,-95.22470092773438,43.62519836425781
closed,Cahoochie Airport,US-MO,Urbana,,-93.131599,37.884499
heliport,Vicksburg Medical Center Heliport,US-MS,Vicksburg,03MS,-90.8832015991211,32.31880187988281
small_airport,Cascade Field,US-MT,Cascade,3MT7,-111.71748,47.267327
small_airport,Mc Donnell Airport,US-MO,Archie,03MU,-94.41249847410002,38.4925003052
small_airport,Pilots Ridge Airport,US-NC,Carolina Beach,03NC,-77.9041976928711,34.10430145263672
small_airport,Olafson Brothers Airport,US-ND,Edinburg,03ND,-97.8290023803711,48.626399993896484
small_airport,Hyde Ranch Airport,US-NE,Comstock,03NE,-99.3311996459961,41.5463981628418
heliport,Lorden Heliport,US-NH,Milford,03NH,-71.12439727783203,42.815399169921875
heliport,At&T Heliport,US-NJ,Berkeley Heights,03NJ,-74.410697937012,40.668701171875
small_airport,Llama Ranch Airport,US-NV,Ruby Valley,03NV,-115.2979965209961,40.58440017700195
small_airport,Talmage Field,US-NY,Riverhead,03NY,-72.716796875,40.95840072631836
small_airport,Gibbs Field,US-OH,Fremont,03OH,-83.01740264892578,41.418399810791016
heliport,Marymount Hospital Heliport,US-OH,Garfield Heights,03OI,-81.59980010986328,41.4208984375
small_airport,Sahoma Lake Airport,US-OK,Sapulpa,03OK,-96.1613998413086,36.04119873046875
small_airport,Powwatka Ridge Airport,US-OR,Troy,03OR,-117.48400115966797,45.85540008544922
heliport,Collegeville Heliport,US-PA,Collegeville,03PA,-75.4656982421875,40.162899017333984
heliport,M.P. Metals Heliport,US-PA,Berwick,03PN,-76.180806,41.066861
small_airport,Sun View Field Airport,US-KS,Bonner Springs,03PR,-94.921703,39.065947
closed,Ziggy's Field,US-PA,Bellefonte,,-77.905602,40.849998
small_airport,Sandy River Airport,US-OR,Sandy,03S,-122.22899627685547,45.401798248291016
heliport,Seacoast Medical Center Heliport,US-SC,Little River,03SC,-78.66190338134766,33.8650016784668
closed,Gay Hill Farm Airport,US-TX,Gay Hill,,-96.500198,30.262699
small_airport,Barronena Ranch Airport,US-TX,Hebbronville,03TE,-98.66950225830078,27.491100311279297
heliport,Eagles Landing Heliport,US-TN,Sevierville,03TN,-83.57939910888672,35.92250061035156
heliport,Shannon Medical Center Heliport,US-TX,San Angelo,03TS,-100.43800354003906,31.45989990234375
heliport,M D K Field,US-TX,Pearland,03TX,-95.30719757080078,29.581600189208984
small_airport,A Z Minerals Corporation Airport,US-UT,Mexican Hat,03UT,-109.98600006103516,37.12080001831055
closed,Whipoorwill Springs Airport,US-VA,Nokesville,03VA,-77.57969665527344,38.66460037231445
small_airport,Spangle Field,US-WA,Spangle,03WA,-117.37200164794922,47.408199310302734
small_airport,Zink Airport,US-WI,Berlin,03WI,-88.883945,44.028873
small_airport,Aerostone Ranch Airport,US-WA,Goldendale,03WN,-120.66999816894531,45.875
small_airport,Creekside Airport,US-TX,Mertzon,03XS,-100.75399780273438,31.318099975585938
small_airport,Phil's Airport,US-AK,Soldotna,04AA,-150.811387,60.535833
heliport,Anniston AHP (Anniston Army Depot),US-AL,Anniston,04AL,-85.96720123,33.62639999
heliport,Saline Memorial Hospital Heliport,US-AR,Benton,04AR,-92.586047,34.574319
small_airport,Chinle Airport,US-AZ,Chinle,04AZ,-109.5510025024414,36.15420150756836
small_airport,Gray Butte Field,US-CA,Palmdale,04CA,-117.675003,34.5639
small_airport,Hunt's Sky Ranch Airport,US-CA,Julian,04CL,-116.44100189208984,33.08169937133789
heliport,Shingle Mill Heliport,US-CT,Harwinton,04CT,-73.05239868164062,41.75510025024414
closed,De Leon Municipal Airport,US-TX,De Leon,,-98.525325,32.098801
small_airport,Richards Field,US-FL,Homestead,04FA,-80.51509857177734,25.558700561523438
heliport,Tampa General Hospital Brandon Healthplex Heliport,US-FL,Brandon,04FD,-82.336981,27.929372
small_airport,Cross Creek Farms Airport,US-FL,Ormond,04FL,-81.22200012207031,29.23940086364746
small_airport,Columbus Southwest Airport,US-OH,Columbus,04I,-83.18879699707031,39.91120147705078
small_airport,Middlekoop Airport,US-IA,Packwood,04IA,-92.05460357666016,41.08829879760742
small_airport,Lanham Field,US-ID,Emmett,04ID,-116.53700256347656,43.87770080566406
small_airport,Turkey Run Airport,US-IN,New Haven,04II,-84.99410247802734,41.13059997558594
small_airport,Schertz Aerial Service - Hudson Airport,US-IL,Hudson,04IL,-89.0070037842,40.6375007629
seaplane_base,Lake Gage Seaplane Base,US-IN,Angola,04IN,-85.113056,41.701389
small_airport,Van Gorder Airport,US-IL,Mansfield,04IS,-88.56900024414062,40.1786003112793
heliport,Robinson Industries Heliport,US-KS,Lawrence,04KS,-95.2197036743164,38.97890090942383
small_airport,Natchez Trace Farm Airport,US-KY,Hiseville,04KY,-85.78939819335938,37.135101318359375
heliport,St James Heliport,US-LA,Lutcher,04LA,-90.702222,30.051111
small_airport,Brunner Airport,US-IL,West Dundee,04LL,-88.28759765625,42.13610076904297
heliport,La National Guard Heliport,US-LA,Baton Rouge,04LS,-91.10530090332031,30.44610023498535
closed,Goddard Field (Airport),US-MA,Haverhill,04MA,-71.1391983032,42.8097991943
heliport,Chesapeake City Heliport,US-MD,Chesapeake City,04MD,-75.82140350341797,39.51810073852539
small_airport,Beech Hill Airport,US-ME,Mercer,04ME,-69.8938980102539,44.66669845581055
small_airport,Rapids Airway Airport,US-MI,Eaton Rapids,04MI,-84.62830352783203,42.53450012207031
small_airport,Helblad Airport,US-MN,Kelliher,04MN,-94.68689727783203,47.985801696777344
small_airport,Airpark Private Airport,US-MO,Vandalia,04MO,-91.45149993896484,39.30120086669922
small_airport,Nick's Flying Service Inc Airport,US-MS,Rolling Fork,04MS,-90.8373031616,32.939601898199996
small_airport,Pluhar Airport,US-MT,Cohagen,04MT,-106.488095,47.13749777779999
heliport,Western Wake Medical Center Heliport,US-NC,Cary,04NC,-78.7822036743,35.739200592
small_airport,Mc Connell Field Airport,US-NE,Sarben,04NE,-101.299003601,41.159999847399995
small_airport,Emmanuel Airport,US-NJ,Elmer,04NJ,-75.2334976196,39.596801757799994
small_airport,Kingston Ranch Airport,US-NV,Sandy Valley,04NV,-115.665000916,35.7555007935
small_airport,Klaverack Airport,US-NY,Hudson,04NY,-73.6961975098,42.262298584
heliport,Teufel Heliport,US-OR,Forest Grove,04OG,-123.085556,45.530833
closed,Bossow Airport,US-OH,Garrettsville,,-81.100701,41.2477
heliport,Stillwater Medical Center Heliport,US-OK,Stillwater,04OK,-97.079498291,36.1152992249
small_airport,Collins Landing Strip,US-OR,Mitchell,04OR,-120.200996399,44.7499008179
heliport,S & C Distribution Center Heliport,US-PA,Philadelphia,04PA,-75.2287979126,39.87929916379999
heliport,Strawbridge & Clothier Exton Heliport,US-PA,Exton,04PN,-75.63021,40.0306619
heliport,Emergency Helipad,US-SC,Easley,04SC,-82.60690307620001,34.8405990601
heliport,Cheyenne River Health Center Heliport,US-SD,Eagle Butte,04SD,-101.243011,44.993124
heliport,Capitol National Bank Building Heliport,US-TX,Austin,04TA,-97.7446975708,30.271041666699997
heliport,Veterans Affairs Medical Center Heliport,US-TX,Houston,04TE,-95.38739776610001,29.700199127199998
small_airport,Hensley Airpark,US-TN,Chuckey,04TN,-82.67890167239999,36.183300018299995
heliport,Hummingbird Heliport,US-TX,Hutto,04TS,-97.60610198970001,30.553499221800003
small_airport,Pocock Airport,US-TX,China Spring,04TX,-97.36889648440001,31.7322006226
small_airport,Navajo Mountain Airport,US-UT,Navajo Mountain Trdng Post,04UT,-110.794998169,37.0083007812
small_airport,Saguache Municipal Airport,US-CO,Saguache,04V,-106.1743889,38.0990833
heliport,Russell County Medical Center Heliport,US-VA,Lebanon,04VA,-82.078,36.898
small_airport,Manquin Flight Park Ultralightport,US-VA,Manquin,04VG,-77.21179962160001,37.7144012451
